source_id,Mecayotl,Olivares+2018,Meingast+2021,l,b,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,g,bp,rp,g_error,bp_error,rp_error,dr3_radial_velocity,dr3_radial_velocity_error,ruwe,astrometric_excess_noise,astrometric_params_solved,bp_rp,g_rp,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Name,EPIC,RAJ2000,DEJ2000,Vmag,J-K,Per,Amp,l_WLi,WLi,e_WLi,Teff,ALi,e_ALi,Bin,SimbadName
70042743277270016,true,true,true,164.94145987824976,-22.28289761194159,56.42996532020241,0.051784024,26.040585885875117,0.035618395,7.286612572195774,0.056471862,20.260907066879618,0.065138854,-44.030689839099395,0.045519736,0.19939153,0.09902742,0.105259016,-0.2892028,0.029887894,-0.24113446,0.046276696,0.23834197,0.14294522,-0.1091807,16.206894,17.871216,14.96501,0.0012487119937594254,0.011375813257347494,0.003201764737140895,,,1.1960437,0.19086868,31,2.9062061,1.2418842,13.254,12.562,12.326,0.029,0.03,0.022,18.2404,0.0105,16.9945,0.004,15.4945,0.0037,14.8233,0.0034,14.477,0.003,,,,,,,,,,,,,,,,
71409985986006016,true,true,true,162.62604394355265,-21.649729946464696,55.06948247876081,0.03766029,27.922631045395285,0.031224506,7.450867275462981,0.04135996,20.470849451341355,0.04839197,-45.462798240630434,0.0389905,0.35863966,0.24147616,-0.14951257,0.059073213,0.25404885,-0.30853596,0.32690185,0.59784997,-0.05509605,-0.094129086,15.456091,16.916193,14.271986,7.768126653013649E-4,0.007486823329100359,0.0017301804889726798,,,0.99745065,0.0,31,2.644207,1.1841049,12.637,11.977,11.754,0.024,0.03,0.023,17.3069,0.0079,16.0743,0.0059,14.763,0.0042,14.1759,0.0032,13.8916,0.0039,,,,,,,,,,,,,,,,
64990792288875264,true,true,true,167.1551719840131,-23.902731180149228,56.900223814089344,0.09190188,23.47393838707442,0.07127222,7.548538567542814,0.10260747,19.302490159035983,0.11040373,-46.086822658837626,0.090910785,0.36352983,0.23463687,0.2626928,-0.17995934,0.13379705,-0.23310347,0.18903959,0.305255,-0.046428803,-0.10622056,17.404692,19.282608,16.104057,0.0014517213191683443,0.030254411177233452,0.004815751170921783,,,0.96674895,0.0,31,3.1785507,1.3006344,14.199,13.661,13.346,0.028,0.026,0.033,19.6531,0.0096,18.4087,0.0063,16.7053,0.0035,15.8907,0.0028,15.4978,0.0037,,,,,,,,,,,,,,,,
69763329884321152,true,true,true,161.95276354005497,-23.732253260935227,53.04045285200158,0.048443235,26.708965795723376,0.03871393,8.880262350594155,0.05582967,25.385644340864854,0.06561247,-54.66504890558406,0.05091707,0.26389533,0.21251845,-0.031012462,-0.050273884,0.124789566,-0.24901025,0.08851798,0.31154212,0.19108161,0.14551353,16.217434,17.918858,14.96103,0.0010703819157907018,0.01793136041332536,0.0021903578569466417,,,1.0469036,0.043556556,31,2.9578276,1.2564039,13.155,12.529,12.242,0.024,0.027,0.023,18.2447,0.0114,17.0455,0.0044,15.4823,0.0043,14.7955,0.0043,14.4503,0.0033,,,,,,,,,,,,,,,,
65202383854448384,true,true,true,166.60664338443937,-23.901654767778222,56.49673767202074,0.08190638,23.812867344430007,0.075343445,7.584054434284224,0.101854555,20.4579022335004,0.10520784,-46.74669948230612,0.095333606,0.5747002,0.2807672,0.28923455,0.046351314,0.24554595,-0.41005796,0.46364963,0.68384033,-0.1593563,-0.32649186,17.039532,18.557104,15.764448,0.001265734653191071,0.04187234504897667,0.004122154881724381,,,1.0317597,0.083240956,31,2.792656,1.2750835,13.919,13.358,13.07,0.024,0.033,0.023,19.206,0.0174,17.901,0.0037,16.3127,0.0038,15.5848,0.0057,15.2271,0.0042,,,,,,,,,,,,,,,,
64924413571101952,true,true,true,167.7757867130235,-23.72480379800471,57.485491827507374,0.015925167,23.21843142395095,0.009468258,6.921465300774905,0.017078437,18.921303017911203,0.019966297,-43.200525582216834,0.013236863,0.21495353,0.13352561,0.19323517,-0.22915758,0.039491225,-0.08770349,0.15234165,0.62880486,0.1006407,-0.24493381,10.138832,10.44442,9.66561,3.8227318198026677E-4,8.245463164795469E-4,5.870265744781702E-4,6.629463,0.5865756,1.0655763,0.0903226,31,0.77880955,0.47322178,9.145,8.854,8.796,0.021,0.018,0.018,11.4636,0.0013,11.1626,0.001,10.0986,0.4767,8.9326,0.001,,,HII2506,211015348,57.48536,23.21864,10.27,0.307,2.1762,0.012," ",108.0,10.0,6162.0,3.067,0.061,,Cl* Melotte 22 HII 2506
65265674492422784,true,true,true,165.89330962939897,-23.948643508315982,55.9314251981591,0.1049847,24.213757929647073,0.0855541,7.427304424110286,0.12562232,20.931081673152953,0.13848646,-45.14194402105124,0.10446699,0.2979491,0.15675922,0.16939528,-0.13076594,0.0135086505,-0.38414124,0.0535447,0.35074168,0.046018325,-0.1794688,17.757893,19.69635,16.42879,0.0013750477607000708,0.0551931446389115,0.00661488715292034,,,0.9560146,0.0,31,3.267561,1.3291035,14.44,13.863,13.571,0.032,0.042,0.035,20.1899,0.023,18.8723,0.0113,17.0188,0.0039,16.1965,0.002,15.7911,0.002,,,,,,,,,,,,,,,,
66742765285619584,true,true,true,166.44183196520294,-23.10371258936959,56.96235820156938,0.032231208,24.505016189025188,0.025533447,7.355850981343791,0.037125397,18.640018588177448,0.04339118,-45.03502657120565,0.03257628,0.34267664,0.30539483,-0.05658102,-0.080121875,0.14119934,-0.27425915,0.17265114,0.49013665,-0.1289802,-0.26817223,15.015844,16.3272,13.887265,7.770930650795865E-4,0.005386538957657567,0.0021014373833935928,,,1.1241056,0.06798111,31,2.4399347,1.1285791,12.371,11.734,11.497,0.022,0.021,0.021,16.7151,0.0076,15.4601,0.0033,14.3313,0.0041,13.8297,0.0045,13.5736,0.0016,,,,,,,,,,,,,,,,
63485427727244544,true,true,true,168.66763268609512,-25.871053989054086,56.541269903063466,0.045075223,21.097786187701033,0.034028266,6.835496796483537,0.04964973,18.798239961955623,0.062611625,-41.8305630359327,0.041691888,-0.010787048,0.106371485,-0.046246048,0.09588685,-0.0692092,-0.19022647,-0.08361304,0.36126757,-0.13366133,0.0015553182,16.040298,17.638668,14.815405,0.0014123581904616728,0.011621665760499349,0.0032427408063017246,,,1.0714281,0.12370256,31,2.8232632,1.2248936,13.111,12.442,12.247,0.023,0.023,0.024,18.022,0.005,16.7831,0.0048,15.356,0.0011,14.6681,0.0036,14.3504,0.0052,,,,,,,,,,,,,,,,
68356367317952128,true,true,true,164.9433434669106,-24.017121077120127,55.16567231201829,0.087792985,24.735582879413812,0.06709559,7.6624858858062375,0.10175311,20.52210330743714,0.1179278,-46.58775662675574,0.0933223,0.5165662,0.28476757,0.28214502,-0.26690274,-0.11169332,-0.27064717,-0.029661957,0.17925294,0.07644872,-0.11040219,17.243416,19.092524,15.919441,0.0013203628429831154,0.038482732526479574,0.008116657136273596,,,1.0419772,0.0,31,3.1730824,1.3239746,13.971,13.428,13.109,0.029,0.045,0.037,19.547,0.0346,18.3044,0.0177,16.5114,0.0012,15.7098,0.0028,15.3027,0.0042,,,,,,,,,,,,,,,,
